university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
sri-ramachandra-institute-of-higher-education-and-research,BBA hospital and health systems management,UG,Business/Healthcare Management,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-b-a-hospital-and-health-systems-management/,,no,,GAP:b-b-a-hospital-and-health-systems-management,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) biomedical sciences,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-biomedical-sciences/,,no,,GAP:b-sc-hons-biomedical-sciences,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) cardiac technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-cardiac-technology/,,no,,GAP:b-sc-hons-cardiac-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) clinical psychology,UG,Psychology,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-clinical-psychology/,,no,,GAP:b-sc-hons-clinical-psychology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) clinical research,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-clinical-research/,,no,,GAP:b-sc-hons-clinical-research,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) environmental health sciences,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-environmental-health-sciences/,,no,,GAP:b-sc-hons-environmental-health-sciences,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) medical biotechnology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-medical-biotechnology-degree-program/,,no,,GAP:b-sc-hons-medical-biotechnology-degree-program,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) medical microbiology and applied molecular biology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-medical-microbiology-and-applied-molecular-biology/,,no,,GAP:b-sc-hons-medical-microbiology-and-applied-molecular-biology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) radiology and imaging science technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-radiology-and-imaging-science-technology/,,no,,GAP:b-sc-hons-radiology-and-imaging-science-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) radiotherapy technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-radiotherapy-technology/,,no,,GAP:b-sc-hons-radiotherapy-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) renal and dialysis technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-renal-and-dialysis-technology-degree-program-degree-program/,,no,,GAP:b-sc-hons-renal-and-dialysis-technology-degree-program-degree-program,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) respiratory therapy,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-respiratory-therapy-degree-program/,,no,,GAP:b-sc-hons-respiratory-therapy-degree-program,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) sports exercise sciences,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-sports-exercise-sciences/,,no,,GAP:b-sc-hons-sports-exercise-sciences,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs burn care plastic recontructive and cosmetic technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-burn-care-plastic-recontructive-and-cosmetic-technology/,,no,,GAP:b-sc-honsahs-burn-care-plastic-recontructive-and-cosmetic-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs critical care technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-critical-care-technology/,,no,,GAP:b-sc-honsahs-critical-care-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs geriatic care technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-geriatic-care-technology/,,no,,GAP:b-sc-honsahs-geriatic-care-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs neurosecience technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-neurosecience-technology/,,no,,GAP:b-sc-honsahs-neurosecience-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs orthopaedic technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-orthopaedic-technology/,,no,,GAP:b-sc-honsahs-orthopaedic-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs paediatric surgical technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-paediatric-surgical-technology/,,no,,GAP:b-sc-honsahs-paediatric-surgical-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs perfusion technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-perfusion-technology/,,no,,GAP:b-sc-honsahs-perfusion-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs plastic recontructive and cosmetic technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-plastic-recontructive-and-cosmetic-technology/,,no,,GAP:b-sc-honsahs-plastic-recontructive-and-cosmetic-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) ahs urology technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-honsahs-urology-technology/,,no,,GAP:b-sc-honsahs-urology-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. medical biotechnology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-medical-biotechnology-degree-program/,,no,,GAP:b-sc-medical-biotechnology-degree-program,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. medical laboratory technology,UG,Allied Health,4 years incl. internship,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-medical-laboratory-technology-degree-program/,,no,,bsc-medical-laboratory-science,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. nuclear medicine,UG,Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-nuclear-medicine/,,no,,GAP:b-sc-nuclear-medicine,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. nursing basic,UG,Nursing,4 years,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-nursing-basic/,,no,,bsc-nursing,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. nursing post basic,UG,Nursing,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-nursing-post-basic/,,no,,GAP:b-sc-nursing-post-basic,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. physician associate,UG,Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-physician-associate/,,no,,GAP:b-sc-physician-associate,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. trauma care management previously called asb sc emergency and trauma care technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-trauma-care-management-previously-called-asb-sc-emergency-and-trauma-care-technology/,,no,,GAP:b-sc-trauma-care-management-previously-called-asb-sc-emergency-and-trauma-care-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Tech. computer science and engineeringartificial intelligence and data analytics,UG,Engineering,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-tech-computer-science-and-engineeringartificial-intelligence-and-data-analytics/,,no,,GAP:b-tech-computer-science-and-engineeringartificial-intelligence-and-data-analytics,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Tech. computer science and engineeringartificial intelligence and machine learning,UG,Engineering,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-tech-computer-science-and-engineeringartificial-intelligence-and-machine-learning/,,no,,GAP:b-tech-computer-science-and-engineeringartificial-intelligence-and-machine-learning,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Tech. computer science and engineeringcybersecurity and internet of things,UG,Engineering,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-tech-computer-science-and-engineeringcybersecurity-and-internet-of-things/,,no,,GAP:b-tech-computer-science-and-engineeringcybersecurity-and-internet-of-things,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Tech. computer science and medical engineeringartificial intelligence and data analytics,UG,Engineering,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-tech-computer-science-and-medical-engineeringartificial-intelligence-and-data-analytics/,,no,,GAP:b-tech-computer-science-and-medical-engineeringartificial-intelligence-and-data-analytics,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Tech. electronics and communication engineering,UG,Engineering,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-tech-electronics-and-communication-engineering/,,no,,GAP:b-tech-electronics-and-communication-engineering,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,Baccalaureate in anesthesia and operation theatre technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/baccalaureate-in-anesthesia-and-operation-theatre-technology/,,no,,GAP:baccalaureate-in-anesthesia-and-operation-theatre-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,Bachelor in Audiology and Speech Language Pathology (B.ASLP),UG,Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-in-audiology-and-speech-language-pathology-b-aslp/,,no,,GAP:bachelor-in-audiology-and-speech-language-pathology-b-aslp,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,Bachelor of Dialysis Therapy Technology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-of-dialysis-therapy-technology/,,no,,GAP:bachelor-of-dialysis-therapy-technology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,bachelor of occupational therapy bot,UG,Occupational Therapy,5 years incl. internship,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-of-occupational-therapy-bot/,,yes,sriher-chennai-bachelor-of-occupational-therapy,bachelor-occupational-therapy,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,bachelor of pharmacy,UG,Pharmacy,4 years,Chennai (Porur),full-time,not_open,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-of-pharmacy/,,no,,bpharm,"Excluded from SRIHER's 2026-27 Foreign National undergraduate prospectus, which is issued for programmes excluding Medical & Dental; B.Pharm is also stated as not on the foreign-national programme list."
sri-ramachandra-institute-of-higher-education-and-research,bachelor of physiotherapy bpt,UG,Physiotherapy,5 years incl. internship,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-of-physiotherapy-bpt/,,yes,sriher-chennai-bachelor-of-physiotherapy,bpt,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,Bachelor of Respiratory Technology (BRT),UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bachelor-of-respiratory-technology-brt/,,no,,GAP:bachelor-of-respiratory-technology-brt,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,bdsbachelor of dental surgery,UG,Dentistry,5 years incl. internship,Chennai (Porur),full-time,not_open,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/bdsbachelor-of-dental-surgery/,,no,,bds,"Excluded from SRIHER's 2026-27 Foreign National undergraduate prospectus, which is issued for programmes excluding Medical & Dental; B.Pharm is also stated as not on the foreign-national programme list."
